Disease,Symptoms
Pregnancy,"missed period, nausea, vomiting, fatigue, breast tenderness"
PCOS,"irregular periods, weight gain, acne, hair growth"
Food Poisoning,"vomiting, diarrhea, stomach pain, nausea"
Migraine,"headache, nausea, sensitivity to light, dizziness"
Flu,"fever, cough, fatigue, body pain, chills"
Common Cold,"runny nose, sneezing, cough, mild fever"
Dengue,"high fever, joint pain, rash, headache"
Malaria,"fever, chills, sweating, headache"
Typhoid,"high fever, weakness, stomach pain, headache"
Diabetes,"frequent urination, increased thirst, fatigue"
Hypertension,"headache, dizziness, nosebleeds"
Anemia,"fatigue, pale skin, weakness, dizziness"
Asthma,"shortness of breath, wheezing, chest tightness"
COVID-19,"fever, cough, loss of taste, breathing difficulty"
Allergy,"sneezing, itching, runny nose, rash"
Gastritis,"stomach pain, nausea, bloating"
GERD,"acid reflux, heartburn, chest discomfort"
Appendicitis,"lower abdominal pain, nausea, fever"
Kidney Infection,"back pain, fever, painful urination"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain"
Depression,"sadness, low energy, sleep problems"
Anxiety,"nervousness, restlessness, rapid heartbeat"
Thyroid Disorder,"weight change, fatigue, mood changes"
Liver Disease,"jaundice, fatigue, abdominal pain"
Heart Disease,"chest pain, shortness of breath, fatigue"
Stroke,"sudden weakness, speech difficulty, confusion"
Epilepsy,"seizures, confusion, loss of consciousness"
Tuberculosis,"chronic cough, weight loss, night sweats"
Pneumonia,"fever, cough, breathing difficulty"
Bronchitis,"cough, mucus, fatigue"
Sinusitis,"facial pain, nasal congestion, headache"
Ear Infection,"ear pain, fever, hearing difficulty"
Eye Infection,"redness, irritation, discharge"
Skin Infection,"rash, redness, swelling"
Fungal Infection,"itching, redness, skin peeling"
Arthritis,"joint pain, stiffness, swelling"
Back Pain,"lower back pain, stiffness"
Obesity,"weight gain, fatigue, breathlessness"
Dehydration,"dry mouth, dizziness, fatigue"
Heat Stroke,"high temperature, confusion, sweating"
Menstrual Disorder,"irregular periods, cramps, mood swings"
Menopause,"hot flashes, night sweats, mood swings"
